Time,AmbientTemp,ChamberTemp,Battery
0,28,3.5,100
1,26.9467326698985,4.10291414448497,99.9388634547525
2,28.6908764316504,4.67986799345243,99.8940981731986
3,28.3082668742195,4.93015129653519,99.8290486564839
4,29.041309352746,5.41713918517581,99.7700488708601
5,28.5725348188454,5.22309778604052,99.7193434221716
6,28.134893252974,5.42920446981807,99.6689406442441
7,29.7503004131418,5.75994059919508,99.6068569096497
8,29.1243401935496,6.15641813737288,99.5401414223941
9,28.8104696158449,6.46419274075517,99.4708995558348
10,30.881145160822,6.44246936773342,99.4205695603617
11,30.9187113055682,6.31251823961722,99.3477206133226
12,29.699031489287,5.95061718462365,99.2780606789495
13,29.2344043102788,5.92795949390477,99.21996127617
14,28.9228479150489,6.11472967058172,99.1663315170234
15,29.7333677145761,6.3700321241499,99.1007653180859
16,30.8095938846659,6.19204311994567,99.0578089094769
17,28.2970435052922,6.24547091892647,98.9833357191002
18,30.5351141691063,6.03588235754246,98.919354447385
19,28.171794117415,5.49459230287543,98.84162531088
20,31.5377935987205,5.36516564840052,98.7995309099144
21,30.4021032106799,5.61393228330011,98.7341282462057
22,30.6222617908867,5.46937133543881,98.6910597390761
23,31.1349603066249,5.58603376597915,98.6325491933682
24,29.8590745142753,5.14245708315097,98.565571166368
25,30.085144168733,5.45303652567063,98.4973677554066
26,32.4905193468,5.53901274014475,98.4356689787446
27,31.5282002206419,5.44664308166319,98.3836701299839
28,31.5182593240582,5.46303494155448,98.333601204353
29,30.5440252598326,5.69516616622509,98.2689398424032
30,33.1242854649638,5.71691597685269,98.2294725479658
31,31.6005527353558,5.75669473834547,98.1744852796853
32,32.3541047945345,4.87165112326626,98.0942105159339
33,31.8100886740426,5.01145717858061,98.0306594068055
34,34.0733737158588,5.18985337804366,97.9681948557041
35,34.3705655696344,5.74818961708603,97.9109895055224
36,31.5678148104243,5.52966570999497,97.8627858472271
37,31.3335628345796,5.34701599664493,97.791488023785
38,31.1503594947779,5.10614595842616,97.7317915138835
39,32.5079945620879,5.43839516443918,97.6779786903304
40,29.7656776046564,5.25418442773629,97.6180657830846
41,30.4056937667627,5.33811532952674,97.5529952275853
